endpoint_pin_type,failed_endpoints
CE,7870
R,2204
D,892
I,479
ENBWREN,163
REGCEB,121
S,14
WADR3,8
WEA[0],4
ENARDEN,3
DINADIN[14],2
WEA[1],2
DINBDIN[22],2
DINBDIN[14],1
DINADIN[4],1
DINADIN[11],1
DINADIN[22],1
DINADIN[30],1
DINADIN[15],1
A[10],1
A[14],1
DINADIN[12],1
A[9],1
A[15],1
ADDRARDADDR[3],1
ADDRBWRADDR[14],1
WEA[2],1
DINBDIN[27],1
