phase,period_ns,wns_ns,lut,ff,dsp,bram36,uram
P0,10,1.195,56690,40318,17,0,0
P1,10,0.831,58996,40342,17,0,0
P2,10,0.626,22060,9182,17,6,0
P3,10,0.835,21872,9733,12,6,0
P4,10,0.830,21473,10105,5,7.5,0
P5,10,0.836,23275,10443,14,7.5,0
P5_divider,10,1.563,25578,12105,6,7.5,0
P1_5,10,0.895,26148,11872,6,7.5,0
P6,10,7.665,717,426,0,0,0
P6_5,10,0.969,26562,11886,6,7.5,0
P7,10,9.092,225,406,0,0,0
P8_final,10,7.419,6580,4882,0,0.5,0
